id,lat,lng,place_name,category,coords,location,created_at
112,45.38440700,-71.90838500,Parc du Mont-Bellevue,Urban Places,"45.384407,-71.908385",0101000020E610000053CBD6FA22FA51C03FADA23F34B14640,2025-10-22 23:45:02.506891+00
113,46.41494000,-74.60622760,Parc national du Mont-Tremblant,Parks,"46.41494,-74.6062276",0101000020E6100000AFFBD86ECCA652C0B0E600C11C354740,2025-10-22 23:45:02.506891+00
114,54.50876150,8.15032650,Pellworm Star Island,Communities,"54.5087615,8.1503265",0101000020E6100000BD715298F74C204061FBC9181F414B40,2025-10-22 23:45:02.506891+00
115,34.98300240,-110.43783940,Petrified Forest National Park,Parks,"34.9830024,-110.4378394",0101000020E61000009EF98B8F059C5BC0DBF1CB05D37D4140,2025-10-22 23:45:02.506891+00
116,45.24165870,15.76518970,Petrova Gora-Biljeg,Parks,"45.2416587,15.7651897",0101000020E6100000DC78C1F1C6872F409EA51AACEE9E4640,2025-10-22 23:45:02.506891+00
117,42.92801440,0.01992740,Pic du Midi,Reserves,"42.9280144,0.0199274",0101000020E6100000B55F2D2DD967943FC91B052DC9764540,2025-10-22 23:45:02.506891+00
118,36.55217340,-84.79733080,Pickett CCC Memorial State Park & Pogue Creek Canyon State Natural Area,Parks,"36.5521734,-84.7973308",0101000020E6100000FC85C377073355C04E5C339EAD464240,2025-10-22 23:45:02.506891+00
119,36.86253340,-112.73746330,Pipe Spring National Monument,Parks,"36.8625334,-112.7374633",0101000020E610000004E04499322F5CC0955A947E676E4240,2025-10-22 23:45:02.506891+00
120,35.19897920,-82.87244230,Pisgah Astronomical Research Institute,Parks,"35.1989792,-82.8724423",0101000020E610000069893A18D6B754C0C84A822678994140,2025-10-22 23:45:02.506891+00
121,-25.06965050,-130.10546000,Pitcairn Islands,Sanctuaries,"-25.0696505,-130.10546",0101000020E61000002861A6ED5F4360C06AA67B9DD41139C0,2025-10-22 23:45:02.506891+00
122,29.26986800,-103.76613330,Big Bend Ranch State Park,Parks,"29.269868,-103.7661333",0101000020E61000001AF8F65308F159C0A73CBA1116453D40,2025-10-22 23:45:02.506891+00
123,52.27292430,-3.07942720,"Presteigne & Norton Dark Sky Community, Wales",Communities,"52.2729243,-3.0794272",0101000020E6100000854D53BAAAA208C05064F72EEF224A40,2025-10-22 23:45:02.506891+00
124,44.13201590,-120.73842590,Prineville Reservoir State Park,Parks,"44.1320159,-120.7384259",0101000020E61000003DC1B45E422F5EC0A886A2E5E5104640,2025-10-22 23:45:02.506891+00
125,48.67496460,-91.13629260,Quetico Provincial Park,Parks,"48.6749646,-91.1362926",0101000020E6100000F5EB9804B9C856C0977A713D65564840,2025-10-22 23:45:02.506891+00
126,37.07745930,-110.97452210,Rainbow Bridge National Monument,Sanctuaries,"37.0774593,-110.9745221",0101000020E6100000AC2EF1915EBE5BC0B222B42FEA894240,2025-10-22 23:45:02.506891+00
127,30.59324160,34.17430550,Ramon Crater Nature Reserve,Parks,"30.5932416,34.1743055",0101000020E6100000A80183A44F16414070A076AEDE973E40,2025-10-22 23:45:02.506891+00
128,38.71041360,-78.15257750,Rappahannock County Park,Parks,"38.7104136,-78.1525775",0101000020E6100000C0266BD4C38953C01B5135D5EE5A4340,2025-10-22 23:45:02.506891+00
129,45.65318070,2.04908960,Regional Natural Park of Millevaches in Limousin,Reserves,"45.6531807,2.0490896",0101000020E6100000FB969416896400406F70D86C9BD34640,2025-10-22 23:45:02.506891+00
130,45.13649620,5.54918920,Regional Natural Park of Vercors,Reserves,"45.1364962,5.5491892",0101000020E6100000FF4355A75E3216409F831DB578914640,2025-10-22 23:45:02.506891+00
131,50.67340960,10.11011260,Rhön,Reserves,"50.6734096,10.1101126",0101000020E61000004CC1BFAD60382440FE67284932564940,2025-10-22 23:45:02.506891+00
132,38.15845250,-107.75225100,"Ridgway, Colorado",Communities,"38.1584525,-107.752251",0101000020E610000088D860E124F05AC017BCE82B48144340,2025-10-22 23:45:02.506891+00
133,25.90061370,-81.32225400,Big Cypress National Preserve,Parks,"25.9006137,-81.322254",0101000020E610000055C03DCF9F5454C05ED4939E8EE63940,2025-10-22 23:45:02.506891+00
134,-35.40926030,143.76202700,River Murray,Reserves,"-35.4092603,143.762027",0101000020E61000006875728662F861408C063AA462B441C0,2025-10-22 23:45:02.506891+00
135,40.77065460,-111.40509160,Rockport State Park,Parks,"40.7706546,-111.4050916",0101000020E610000099785105EDD95BC088C157CFA4624440,2025-10-22 23:45:02.506891+00
136,32.18023570,-110.73624070,Saguaro National Park,Urban Places,"32.1802357,-110.7362407",0101000020E6100000FC1E50911EAF5BC02C89A2F611174040,2025-10-22 23:45:02.506891+00
137,34.25891700,-106.09400910,Salinas Pueblo Missions National Monument,Parks,"34.258917,-106.0940091",0101000020E6100000B081BE3E04865AC070B0373124214140,2025-10-22 23:45:02.506891+00
138,49.42540330,-2.45115240,"Sark, Channel Islands",Communities,"49.4254033,-2.4511524",0101000020E610000064181CCAF59B03C0248E869D73B64840,2025-10-22 23:45:02.506891+00
139,34.85437840,-111.79513840,"Sedona, Arizona",Communities,"34.8543784,-111.7951384",0101000020E6100000CDF22B8CE3F25BC054347B455C6D4140,2025-10-22 23:45:02.506891+00
140,30.29598780,-98.00768990,Shield Ranch Barton Creek,Urban Places,"30.2959878,-98.0076899",0101000020E61000009C40C7FD7D8058C0D60341DBC54B3E40,2025-10-22 23:45:02.506891+00
141,42.75755270,-108.84589080,Sinks Canyon State Park,Parks,"42.7575527,-108.8458908",0101000020E6100000307F2A1323365BC08DBFA37CF7604540,2025-10-22 23:45:02.506891+00
142,38.98960070,-77.98131030,Sky Meadows State Park,Parks,"38.9896007,-77.9813103",0101000020E6100000976EB7C9CD7E53C0A24C593CAB7E4340,2025-10-22 23:45:02.506891+00
143,49.59280420,19.17612170,Sopotnia Wielka,Communities,"49.5928042,19.1761217",0101000020E6100000AD9DCD4F162D33403AF70D02E1CB4840,2025-10-22 23:45:02.506891+00
144,34.77991000,-111.75511700,"Big Park / Village of Oak Creek, Arizona",Communities,"34.77991,-111.755117",0101000020E6100000D5E940D653F05BC064E94317D4634140,2025-10-22 23:45:02.506891+00
145,30.44578560,-99.80421660,South Llano River State Park,Parks,"30.4457856,-99.8042166",0101000020E61000009FF9E64878F358C01A074D011F723E40,2025-10-22 23:45:02.506891+00
146,53.76556050,7.41100890,Spiekeroog Star Island,Communities,"53.7655605,7.4110089",0101000020E6100000B1755F84DFA41D40014EEFE2FDE14A40,2025-10-22 23:45:02.506891+00
147,37.19508780,-112.99788430,"Springdale, Utah",Communities,"37.1950878,-112.9978843",0101000020E6100000476C1C56DD3F5CC09F6C14A3F8984240,2025-10-22 23:45:02.506891+00
148,38.66912900,-90.39078600,Stacy Park,Urban Places,"38.669129,-90.390786",0101000020E6100000056F48A3029956C010E7E104A6554340,2025-10-22 23:45:02.506891+00
149,36.69812670,-78.67681090,Staunton River State Park,Parks,"36.6981267,-78.6768109",0101000020E6100000E344AADE50AB53C0727B38375C594240,2025-10-22 23:45:02.506891+00
150,40.50537730,-109.53886440,Steinaker State Park,Parks,"40.5053773,-109.5388644",0101000020E6100000A2BE1BC17C625BC005D20F34B0404440,2025-10-22 23:45:02.506891+00
151,30.82658880,-82.37220130,Stephen C. Foster State Park,Parks,"30.8265888,-82.3722013",0101000020E6100000D6C16625D29754C0693DD7529BD33E40,2025-10-22 23:45:02.506891+00
152,-46.97909930,166.51936580,Stewart Island / Rakiura,Sanctuaries,"-46.9790993,166.5193658",0101000020E610000026B506A59ED06440AC843820537D47C0,2025-10-22 23:45:02.506891+00
153,38.57439790,-109.55141860,The City of Moab,Communities,"38.5743979,-109.5514186",0101000020E6100000FE593D714A635BC00FB2D1DE85494340,2025-10-22 23:45:02.506891+00
154,-22.47911970,143.17239040,The Jump-Up,Sanctuaries,"-22.4791197,143.1723904",0101000020E61000009F44DF3884E561408C5EB296A77A36C0,2025-10-22 23:45:02.506891+00
155,38.14060360,20.65604800,Aenos National Park,Parks,"38.1406036,20.656048",0101000020E6100000309B00C3F2A7344095D97B4CFF114340,2025-10-22 23:45:02.506891+00
156,34.67243140,133.54456850,"Bisei Town, Ibara City",Communities,"34.6724314,133.5445685",0101000020E6100000D13DEB1A6DB16040D9E66B3B12564140,2025-10-22 23:45:02.506891+00
157,36.91569790,-112.66459200,Thunder Mountain Pootsee Nightsky,Communities,"36.9156979,-112.664592",0101000020E6100000BA4BE2AC882A5CC008C2BA9635754240,2025-10-22 23:45:02.506891+00
158,40.44392870,-111.71673570,Timpanogos Cave National Monument,Urban Places,"40.4439287,-111.7167357",0101000020E61000000BD869FFDEED5BC0BE20D8A7D2384440,2025-10-22 23:45:02.506891+00
159,57.33909910,-3.34718160,Tomintoul and Glenlivet – Cairngorms,Parks,"57.3390991,-3.3471816",0101000020E6100000022F8E2507C70AC0304D6C9967AB4C40,2025-10-22 23:45:02.506891+00
160,33.64842860,-111.11356330,Tonto National Monument,Parks,"33.6484286,-111.1135633",0101000020E6100000A7E1009F44C75BC0426557B5FFD24040,2025-10-22 23:45:02.506891+00
161,38.11147340,-107.80456180,Top of the Pines,Parks,"38.1114734,-107.8045618",0101000020E610000019A7C6F07DF35AC0DDAFA7C2440E4340,2025-10-22 23:45:02.506891+00
162,38.30336170,-111.44073950,"Torrey, Utah",Communities,"38.3033617,-111.4407395",0101000020E61000008CA3721335DC5BC0F32D628ED4264340,2025-10-22 23:45:02.506891+00
163,38.63620250,-109.39958810,"Town of Castle Valley, Utah",Communities,"38.6362025,-109.3995881",0101000020E6100000BB57F7D992595BC0159161156F514340,2025-10-22 23:45:02.506891+00
164,38.87000410,-107.59257490,Town of Paonia,Communities,"38.8700041,-107.5925749",0101000020E61000008DFB45BFECE55AC066715A4B5C6F4340,2025-10-22 23:45:02.506891+00
165,31.62957340,-111.09773550,"Tubac, Arizona",Communities,"31.6295734,-111.0977355",0101000020E6100000200A664C41C65BC0796EEBB82BA13F40,2025-10-22 23:45:02.506891+00
